Word,AoA_Read_Mean,AoA_Read_Std.Dv,AoA_Write_Mean,AoA_Write_Std.Dv
unannounced,9.314285714,4.013004072,9.875,4.248318995
willies,8.777777778,2.54233988,9.819444444,3.218590592
evacuate,8.358725762,2.344868039,9.492382271,2.757261255
presenter,9.166666667,3.239566586,9.779411765,3.080218352
dinnerware,9.867647059,4.41983961,9.861111111,4.461920008
supervision,9.202702703,2.890260127,9.868421053,3.0284333
divorce,10.37142857,3.596041241,11.34285714,3.582579231
globetrotter,10.58333333,3.638092122,11.24324324,3.727938106
bartender,10.4125,3.529886139,11.12820513,3.480619176
painless,7.812271731,2.812170827,8.195290859,2.571822477
wigwam,12.17647059,4.577418806,12.22857143,4.800954037
leaver,8.91025641,2.973284102,9.205128205,2.667341345
gasman,8.986842105,3.920643291,10.10526316,3.667162344
eatable,9.486842105,4.356552757,9.828947368,3.961429437
stairwell,7.490722656,2.104438516,8.006427916,1.988589575
caption,8.351351351,3.550948357,8.9,3.771009523
milkmaid,7.908950617,2.417205843,9.021913806,3.085939599
unforgettable,7.564814815,1.919522832,8.505787037,2.223524854
feverish,9.264705882,3.647820632,9.283783784,4.057812322
flier,8.791666667,3.167637696,8.743589744,3.363644239
pompon,8.019044321,2.647212979,9.005193906,2.576074581
meadowlark,9.560606061,3.365165244,10.20833333,3.532249384
lockbox,8.185625,3.323584562,9.1375,3.42312554
dogfight,8.728979592,3.402764369,9.7,4.040602751
wiz,8.694444444,3.600154318,9.391891892,3.626934609
porpoise,8.641025641,4.013052254,9.7375,3.626801056
tax,8.979238754,3.610052674,9.100346021,3.239562228
unwire,8.193213296,2.493136692,9.371191136,2.803861212
deliciousness,8.549306063,3.493109233,10.125,4.062678568
gunman,9.027777778,3.800271502,9.236842105,3.759199243
vacationer,9.331836735,3.356395564,10.12820513,3.938203486
crucify,8.678240741,2.538446655,9.256026297,2.732511936
sensational,9.441176471,4.074616,9.985714286,4.136433734
dryness,9.337837838,3.632519125,10.27631579,3.536866395
blooper,9.054054054,3.309883734,9.263157895,3.336402096
stepparent,9.6875,4.067475241,10.05882353,4.029746789
nonviolent,8.6984375,3.239841356,9.83033241,2.778580527
majority,9.106060606,3.866437265,9.735294118,3.620721705
rootless,9.189189189,3.371348542,9.802631579,3.778565926
multilayered,9.542857143,4.033629639,10.19736842,4.056258884
flyaway,9.065789474,3.470281266,9.355263158,3.260964653
whittler,9.402777778,3.91301755,10.33333333,3.924283374
sharkskin,9.756756757,3.515089737,10.7027027,3.546241084
partway,9.581081081,3.538505478,9.565789474,3.731116514
gobbler,9.660770031,3.312516033,10.44117647,4.106101716
hick,9.871428571,3.822039141,10.02631579,4.078532076
skewer,9.75,3.71779097,10.27142857,4.020796777
foghorn,9.742857143,3.918979888,10.64705882,3.564406134
screwball,8.835262346,3.004890474,9.847222222,3.376006611
functional,9.621621622,3.73497993,10.16216216,3.431986091
electrocute,9.717948718,3.652315185,10.79487179,3.51447748
stepper,9.602564103,3.688851424,10.26315789,3.54076042
infielder,9.881578947,3.486332795,10.52564103,3.40075208
damnation,9.472222222,3.891280444,10.51388889,3.558663696
insightful,10.075,3.783482997,10.83333333,3.52497356
onlooker,10.03846154,3.275476292,11.28947368,3.22077626
crotch,9.72972973,4.086894017,10.22972973,3.990604581
poltergeist,9.961538462,3.560352983,11,3.369757136
smokestack,10.26388889,3.965000651,10.90277778,3.868959706
nauseous,10.56578947,3.759979609,11.28947368,3.477012501
instrumental,10.72058824,4.043684145,11.36764706,3.906693602
bigwig,7.944444444,2.425394748,8.460526316,2.568998067
wacko,8.459459459,3.211045127,9.276315789,3.208302929
unloving,8.236111111,2.30368063,9.297297297,3.296588008
coldblooded,9.028571429,3.20831378,10.15714286,3.663756166
woodcraft,8.09125,2.587336951,9.239973702,2.506189695
freakiness,9.189189189,3.512579282,9.8375,3.754292415
teachable,8.53125,2.937482951,9.6125,3.17943613
pigheaded,9.416666667,3.252471588,9.5125,3.678571873
energizer,8.520429363,3.513720177,9.756756757,3.654566439
warfare,8.851351351,4.132971867,9.394736842,3.795726428
brainpower,8.894736842,4.106945164,9.675675676,4.081149444
restorable,9.22972973,3.353262496,9.868421053,3.424246239
duplicate,8.689020381,2.584084954,9.228139382,2.281954955
teaser,9.132352941,3.828340933,9.842857143,3.353600849
bagpiper,9.0683391,3.019862948,9.668571429,2.899875396
mandatory,9.25,3.52748945,9.957142857,3.83553706
wreak,9.371794872,2.997187165,10.26923077,2.91738472
extinguish,9.291666667,4.477523231,10.10810811,4.327135207
resistant,9.351351351,3.86556174,10.2027027,3.538399394
adjustable,10.12857143,3.982208331,11.29411765,4.041672409
whirlpool,10.14864865,3.78018383,10.76315789,3.655312391
tailpipe,9.855263158,4.366500075,10.72368421,4.488269046
enormousness,10.48571429,4.082757348,11.45833333,4.13067791
lipreading,9.736111111,3.771104634,10.875,3.540328879
connector,11.45588235,4.868525455,11.79411765,4.825936315
gypsy,10.2,3.884736345,10.7,3.929900463
untruthfulness,9.576923077,3.529086772,10.4875,3.382624342
wreathe,8.550540123,2.494336956,9.392746914,2.767697207
armload,7.78125,2.549312051,8.833333333,2.138437903
saloon,7.236111111,2.505668178,7.952562327,2.45474412
bas,7.293209877,2.271656937,8.138056976,2.290734609
cleat,7.301903114,2.600746669,8.410153397,3.341582221
pusher,7.140816327,2.063261625,7.820987654,2.050083283
lightness,7.978780864,2.233124265,8.631482834,2.243778312
cornball,7.72337963,2.778730739,8.299853908,3.303099492
dreamworld,8.033240997,2.780371662,9.0625,3.47553261
nationwide,8.065714286,2.603384998,9.006887052,2.51278038
scoutmaster,8.381578947,2.080911347,9.302631579,2.279578771
churn,7.881578947,2.605695971,8.644736842,2.691096167
bedclothes,7.944598338,2.667540835,9.525,3.299086898
shaper,7.727346939,2.714355089,9.264705882,3.369280325
trustful,7.993791088,3.591353891,8.777354571,3.563584062
scholastic,8.924242424,3.555632003,8.945945946,3.647266449
oversleep,8.423076923,4.392784846,9.679487179,4.007373433
instruct,8.566938776,3.062874097,8.69632964,3.327800028
eyepiece,8.567567568,3.100542431,9.039473684,3.31536468
